
13 Aug 2021 - 10:35:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 1.28 KB;Download: 1.14 KB
13 Aug 2021 - 10:36:00;Windows 10 Pro;Int IP: 192.168.134.128;Ping: Failed to Ping;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 660 Bytes;Download: 439 Bytes
13 Aug 2021 - 10:36:01;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 1.18 KB;Download: 886 Bytes
13 Aug 2021 - 10:36:02;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 635 Bytes;Download: 584 Bytes
13 Aug 2021 - 10:36:03;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 206ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 52% used;Upload: 655 Bytes;Download: 442 Bytes
13 Aug 2021 - 10:36:04;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 655 Bytes;Download: 442 Bytes
13 Aug 2021 - 10:36:05;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 33ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 714 Bytes;Download: 590 Bytes
13 Aug 2021 - 10:36:06;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 301ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 816 Bytes;Download: 631 Bytes
13 Aug 2021 - 10:36:07;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 38ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 659 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:36:08;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 51ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 52% used;Upload: 659 Bytes;Download: 521 Bytes
