22 Jul 2021 - 19:16:53;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 18% used;RAM: 76% used;Upload: 3.38 KB;Download: 6.19 KB
22 Jul 2021 - 19:16:54;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 76% used;Upload: 1.39 KB;Download: 5.54 KB
22 Jul 2021 - 19:16:55;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 76% used;Upload: 8.31 KB;Download: 357.25 KB
22 Jul 2021 - 19:16:56;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 76% used;Upload: 11.18 KB;Download: 446.22 KB
22 Jul 2021 - 19:16:57;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 76% used;Upload: 1.32 KB;Download: 6.13 KB
22 Jul 2021 - 19:16:58;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 76% used;Upload: 4.23 KB;Download: 7.46 KB
22 Jul 2021 - 19:16:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 76% used;Upload: 3.95 KB;Download: 7.08 KB
22 Jul 2021 - 19:17:00;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 7.04 KB;Download: 246.33 KB
22 Jul 2021 - 19:17:01;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 76% used;Upload: 1.57 KB;Download: 5.83 KB
22 Jul 2021 - 19:17:02;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 76% used;Upload: 1.31 KB;Download: 5.54 KB
22 Jul 2021 - 19:17:03;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 76% used;Upload: 1.35 KB;Download: 5.67 KB
22 Jul 2021 - 19:17:04;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 76% used;Upload: 1.33 KB;Download: 5.48 KB
22 Jul 2021 - 19:17:05;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 76% used;Upload: 4.89 KB;Download: 322.89 KB
22 Jul 2021 - 19:17:06;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 76% used;Upload: 1.41 KB;Download: 5.71 KB
22 Jul 2021 - 19:17:07;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 18.46 KB;Download: 1.85 MB
22 Jul 2021 - 19:17:08;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 7% used;RAM: 76% used;Upload: 1.50 KB;Download: 5.78 KB
22 Jul 2021 - 19:17:09;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 76% used;Upload: 1.41 KB;Download: 5.68 KB
22 Jul 2021 - 19:17:10;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 7% used;RAM: 76% used;Upload: 11.79 KB;Download: 736.99 KB
22 Jul 2021 - 19:17:11;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 76% used;Upload: 1.61 KB;Download: 5.90 KB
22 Jul 2021 - 19:17:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 76% used;Upload: 1.57 KB;Download: 5.85 KB
